imageNum,descriptors
0001,"fountain,park,people,walking,big,many,middle,splash,wear,woman,area,beyond,break,building,center,circle,city,clothes,comfortable,coming,daytime,good,greenery,heat,light,lit,man,morning,office,overseas,planted,pleasant,running,several,sidewalk,stroll,strong,sun,surrounded,train,tree,wanted,water,wearing,weather"
0003,"people,building,sky,blue,center,shop,walking,africa,america,asia,atmosphere,between,bicycle,bright,brilliantly,cloud,country,crowded,definitely,enjoying,entrance,faint,foreign,front,hot,life,lining,little,long,man,much,nervous,one,overtime,overwhelming,passing,pedestrian,place,plaster,probably,remark,road,screen,several,shine,shopkeeper,shopping,short,shown,sideways,signage,signboard,sleeve,small,south,stone,street,sun,superior,surely,townscapes,traffic,train,wear,white,work"
0009,"canoe,man,descending,fun,river,stream,boat,coming,covering,experiencing,fast,flashy,flow,getting,good,hand,helmet,high,hilarious,kayak,manipulating,may,mountain,myself,oar,one,paddling,painful,pattern,place,red,row,seat,sight,small,sport,surely,two,wave,well,wet"
0014,"cow,golden,around,city,large,object,people,benefit,big,bronze,brown,buffalo,bull,bullfighting,cattle,center,door,gathered,grow,happy,horn,image,imaged,looking,pavement,picture,placed,pose,statue,stone,surrounding,taking,threat,touching,tourist,water,woman"
0020,"number,put,green,written,around,arranging,bet,board,casino,chip,clogged,coin,colorful,dealer,digit,double,finger,game,hand,holding,man,many,mat,meaning,near,one,person,play,plenty,purple,ring,round,stacked,table,top,white,wondering,yellow"
0028,"people,station,train,door,many,open,orange,walking,arm,arrival,atmosphere,came,car,color,concerned,dark,leaking,light,lonely,man,reflected,screen,several,short,silver,sleeping,sparse,state,stopped,stopping,subway,walk"
0030,"body,massage,upper,woman,naked,back,lying,person,pleasant,receiving,around,backbone,bed,blade,blonde,close,comfortable,eye,flat,hand,her,lie,method,performing,reflected,seemed,sex,sheet,shiatsu,shoulder,standing,table,treatment,waist,wearing,white,whose"
0041,"bucket,cattle,cow,head,interesting,man,pasture,ranch,watching,wearing,animal,big,blue,body,brown,calf,confused,covering,cute,face,fence,formed,friend,here,house,kangaroo,laughing,may,mistake,near,one,people,place,playing,pretty,puddle,separated,small,stand,two,vast,woman,wonder"
0048,"house,car,front,lined,silver,sky,two,white,area,below,blue,cityscape,clean,clear,cloud,color,envy,floating,garage,garden,gray,green,large,lining,live,maintained,more,one,outside,parked,parking,passenger,place,plant,residential,rich,several,stand,staying,stopped,suit,vast,vivid"
0050,"fruit,man,shopping,carrying,colorful,lined,market,backpack,brown,care,doe,facility,foreground,hat,kind,much,narrowed,overseas,place,rucksack,seen,sightseeing,sold,somewhere,state,super,taste,tasty,various,visiting,wearing"
